#step	time	cpu_time	id	type	size1	size2	id	type	size1	size2	react	id	type	size1	size2	id	type	size1	size2
68612477	0.00015112	47.865	1595	4	221	519	-	-	-	-	trap_mutation	1596	2	1	0	1597	4	222	519
68818587	0.000151141	48.119	1598	4	221	519	-	-	-	-	trap_mutation	1599	2	1	0	1600	4	222	519
68838841	0.000151143	48.15	1599	2	1	0	1259	1	1	0	anneal	-	-	-	-	-	-	-	-
68891334	0.000151151	48.21	1563	2	1	0	1409	1	1	0	anneal	-	-	-	-	-	-	-	-
71326151	0.000152137	50.839	1590	2	4	0	-	-	-	-	GB	-	-	-	-	-	-	-	-
71328258	0.000154762	50.845	-	-	-	-	-	-	-	-	cascade.100.4.txt	-	-	-	-	-	-	-	-
71328258	0.000154762	50.846	1606	1	1	0	1616	2	1	0	anneal	-	-	-	-	-	-	-	-
71661587	0.000154774	51.302	1617	2	1	0	1413	1	1	0	anneal	-	-	-	-	-	-	-	-
71723241	0.000154778	51.379	1622	2	1	0	1337	1	1	0	anneal	-	-	-	-	-	-	-	-
71728442	0.000154779	51.385	1648	3	0	5	-	-	-	-	trap_mutation	1649	2	1	0	1650	4	1	5
71928106	0.000154808	51.624	1653	3	0	5	-	-	-	-	trap_mutation	1654	2	1	0	1655	4	1	5
72658037	0.00017023	52.521	-	-	-	-	-	-	-	-	cascade.100.4.txt	-	-	-	-	-	-	-	-
72658037	0.00017023	52.521	1671	1	1	0	1681	2	1	0	anneal	-	-	-	-	-	-	-	-
72658042	0.00017023	52.522	1689	2	1	0	1679	1	1	0	anneal	-	-	-	-	-	-	-	-
72658045	0.00017023	52.522	1682	2	1	0	1672	1	1	0	anneal	-	-	-	-	-	-	-	-
72728286	0.000170233	52.606	1708	5	5	4	-	-	-	-	trap_mutation	1709	2	6	0	1710	4	1	4
73016621	0.000170244	52.977	1712	3	0	9	-	-	-	-	trap_mutation	1713	2	1	0	1714	4	1	9
73910962	0.000170489	54.061	1737	4	221	520	-	-	-	-	trap_mutation	1738	2	1	0	1739	4	222	520
74053541	0.000173955	54.232	-	-	-	-	-	-	-	-	cascade.100.6.txt	-	-	-	-	-	-	-	-
74053541	0.000173955	54.233	1742	1	1	0	1752	2	1	0	anneal	-	-	-	-	-	-	-	-
74053835	0.000173955	54.234	1753	2	1	0	1743	1	1	0	anneal	-	-	-	-	-	-	-	-
74401553	0.000173968	54.687	1755	2	1	0	1477	1	1	0	anneal	-	-	-	-	-	-	-	-
74473321	0.000173972	54.782	1785	4	221	520	-	-	-	-	trap_mutation	1786	2	1	0	1787	4	222	520
74473372	0.000173972	54.782	1788	4	221	520	-	-	-	-	trap_mutation	1789	2	1	0	1790	4	222	520
74801725	0.000174012	55.226	1793	3	0	8	-	-	-	-	trap_mutation	1794	2	1	0	1795	4	1	8
74848815	0.000174017	55.298	1796	5	2	4	-	-	-	-	trap_mutation	1797	2	3	0	1798	4	1	4
77196748	0.000174743	58.317	1797	2	3	0	-	-	-	-	GB	-	-	-	-	-	-	-	-
77325596	0.000199279	58.508	-	-	-	-	-	-	-	-	cascade.100.1.txt	-	-	-	-	-	-	-	-
77436773	0.000199285	58.664	1833	2	1	0	1190	1	1	0	anneal	-	-	-	-	-	-	-	-
77582211	0.000199293	58.851	1860	5	3	4	-	-	-	-	trap_mutation	1861	2	4	0	1862	4	1	4
80092847	0.000200695	61.988	1883	5	1	4	-	-	-	-	trap_mutation	1884	2	2	0	1885	4	1	4
80113548	0.000200698	62.013	1886	4	221	520	-	-	-	-	trap_mutation	1887	2	1	0	1888	4	222	520
80113664	0.000200698	62.013	1889	4	221	520	-	-	-	-	trap_mutation	1890	2	1	0	1891	4	222	520
80232906	0.000200716	62.16	1893	5	1	4	-	-	-	-	trap_mutation	1894	2	2	0	1895	4	1	4
82109604	0.000210283	64.47	-	-	-	-	-	-	-	-	cascade.100.4.txt	-	-	-	-	-	-	-	-
82109604	0.000210283	64.471	1905	1	1	0	1915	2	1	0	anneal	-	-	-	-	-	-	-	-
82109610	0.000210285	64.471	1922	2	1	0	1912	1	1	0	anneal	-	-	-	-	-	-	-	-
82201107	0.000210288	64.598	1945	5	12	4	-	-	-	-	trap_mutation	1946	2	13	0	1947	4	1	4
82829659	0.000210332	65.453	1957	4	221	520	-	-	-	-	trap_mutation	1958	2	1	0	1959	4	222	520
83053278	0.000210376	65.739	1960	4	221	520	-	-	-	-	trap_mutation	1961	2	1	0	1962	4	222	520
84474895	0.000211312	67.528	-	-	-	-	-	-	-	-	cascade.100.1.txt	-	-	-	-	-	-	-	-
84840750	0.000211329	68.004	2016	3	0	8	-	-	-	-	trap_mutation	2017	2	1	0	2018	4	1	8
85250507	0.000211401	68.535	2021	4	220	520	-	-	-	-	trap_mutation	2022	2	2	0	2023	4	222	520
85973056	0.000212065	69.48	2026	2	1	0	871	1	1	0	anneal	-	-	-	-	-	-	-	-
86037477	0.000213539	69.563	-	-	-	-	-	-	-	-	cascade.100.3.txt	-	-	-	-	-	-	-	-
86037477	0.000213539	69.564	2035	1	1	0	2045	2	1	0	anneal	-	-	-	-	-	-	-	-
86877978	0.000213874	70.811	2097	5	3	4	-	-	-	-	trap_mutation	2098	2	4	0	2099	4	1	4
86898888	0.000213877	70.834	2100	4	221	520	-	-	-	-	trap_mutation	2101	2	1	0	2102	4	222	520
86918512	0.00021388	70.86	2101	2	1	0	1817	1	1	0	anneal	-	-	-	-	-	-	-	-
87154450	0.000214391	71.218	2107	2	1	0	-	-	-	-	GB	-	-	-	-	-	-	-	-
